MetadataType,Value
Subcategory,Women's Health
Subcategory,Diagnostic Tests
Subcategory,Family Planning
Subcategory,Contraception
Subcategory,Health Promotion
Subcategory,Women's Health Assessment
Subcategory,Reproductive Health
Subcategory,Women's Empowerment
Subcategory,Midwifery and Obstetrics
Subcategory,Fetal Medicine
Subcategory,Fetal development
Subcategory,Labor and Delivery
Subcategory,Postpartum
Subcategory,Pregnancy
Subcategory,Pregnancy Abnormalities
Subcategory,Biochemistry
Subcategory,Biology
Subcategory,Cardiac System
Subcategory,Dermatology
Subcategory,Endocrinology
Subcategory,Epidemiology
Subcategory,Gastroinstestinal System
Subcategory,General Physiology
Subcategory,Genetics
Subcategory,Hematology
Subcategory,Immune System
Subcategory,Musculoskeletal System
Subcategory,Nervous System
Subcategory,Renal System
Subcategory,Reproductive System
Subcategory,Respiratory System
Subcategory,Environmental
Subcategory,Immunizations
Subcategory,Population Change and Public Health
Subcategory,Preventative Health and Primary Care
Subcategory,Smoking and Drug Use
Subcategory,Violence
Subcategory,Patient Education
Subcategory,Clinical Laboratory Techniques and Services
Subcategory,Radiology
Subcategory,Diagnostic Imaging
Subcategory,Teaching and Assessment
Subcategory,Textbooks
Subcategory,SolarSPELL Curriculum
Subcategory,Triage
Subcategory,First Aid
Subcategory,Advanced Trauma Life Support
Subcategory,Resuscitation
Subcategory,Wounds and Injuries
Subcategory,Poisoning
Subcategory,Communicable Diseases
Subcategory,Noncommunicable Diseases
Subcategory,Optometry
Subcategory,Gastrointestinal
Subcategory,Gynecological
Subcategory,Musculoskeletal
Subcategory,Pre- and Post-Operation
Subcategory,Urogenital
Subcategory,Cardiovascular
Subcategory,Endocrine Surgical Procedures
Subcategory,Obstetric
Subcategory,Preventative Dentistry
Subcategory,Oral Surgery
Subcategory,Orthodontics
Subcategory,Endodontics
Subcategory,Dental Technology
Subcategory,Adolescent Psychiatry
Subcategory,Child Psychiatry
Subcategory,Community Psychiatry
Subcategory,Mental Disorders
Subcategory,Adolescent Health and Development
Subcategory,Child Health and Development
Subcategory,Congenital Abnormalities
Subcategory,Pediatric Emergency Medicine
Subcategory,Pediatric Assessment
Subcategory,Analgesia and Anesthesia
Subcategory,Medication Class
Subcategory,Pharmacokinetics
Subcategory,Prescribing Considerations
Subcategory,Principles of Pharmacology
Subcategory,Psychopharmacology
Subcategory,Health Planning Guidelines
Subcategory,Healthcare Economics
Subcategory,National Health Programs
Subcategory,Statistics and Reports
Subcategory,COVID-19
Subcategory,Cholera
Subcategory,HIV/AIDS
Subcategory,Hepatitis
Subcategory,Malaria
Subcategory,Measles
Subcategory,Tuberculosis
Subcategory,Professional Guidelines
Subcategory,Policies
Subcategory,Statutes and Court Decisions
Subcategory,Quality Indicators in Healthcare
Subcategory,Drawing
Subcategory,Painting
Subcategory,Music
Subcategory,Dance
Subcategory,Theater
Subcategory,Artists
Subcategory,Art History
Subcategory,Crafts
Subcategory,Design
Subcategory,Cooking
Subcategory,Fashion
Subcategory,Media
Subcategory,Architecture
Subcategory,Classroom Resources
Subcategory,Teaching Practices
Subcategory,Lesson Delivery
Subcategory,How to Use the SolarSPELL
Subcategory,Careers and School
Subcategory,Peace Corps Resources
Subcategory,Exam Preparation
Subcategory,SAT Exam Preparation
Subcategory,Health Promotion
Subcategory,Disease Prevention
Subcategory,Food Safety
Subcategory,COVID-19
Subcategory,Hygiene
Subcategory,Nutrition
Subcategory,Physical Education
Subcategory,Safety and First Aid
Subcategory,Emergency Preparedness
Subcategory,Sanitation
Subcategory,Different Abilities
Subcategory,Infectious Diseases
Subcategory,Non-infectious Diseases
Subcategory,Grammar
Subcategory,Novels
Subcategory,Poetry
Subcategory,Short Stories
Subcategory,Language Learning Resources
Subcategory,Storybooks
Subcategory,Early Readers
Subcategory,Dictionaries and Reference
Subcategory,Creative Writing Activities
Subcategory,Writing Guides
Subcategory,Algebra
Subcategory,Geometry
Subcategory,Numbers and Counting
Subcategory,Addition
Subcategory,Subtraction
Subcategory,Multiplication
Subcategory,Division
Subcategory,Statistics
Subcategory,Fractions and Decimals
Subcategory,Calculus
Subcategory,Measurement and Data
Subcategory,Physics
Subcategory,Genetics
Subcategory,Astronomy
Subcategory,Anatomy
Subcategory,Biology
Subcategory,Chemistry
Subcategory,Engineering
Subcategory,Earth Science
Subcategory,Environment
Subcategory,Life Science
Subcategory,Science Experiments
Subcategory,Energy
Subcategory,Solar Energy
Subcategory,Space
Subcategory,Botany
Subcategory,Ecology
Subcategory,Cellular Biology
Subcategory,Evolutionary Biology
Subcategory,Microbiology
Subcategory,Zoology
Subcategory,Anthropology
Subcategory,Archaeology
Subcategory,Ethnography
Subcategory,Demography
Subcategory,Sociology
Subcategory,Culture and Religion
Subcategory,Cultural Activities
Subcategory,Holidays
Subcategory,Geography
Subcategory,Maps
Subcategory,Africa
Subcategory,Asia
Subcategory,Caribbean
Subcategory,Europe
Subcategory,North America
Subcategory,Central America
Subcategory,South America
Subcategory,Oceania
Subcategory,World Geography
Subcategory,History
Subcategory,World History
Subcategory,Politics and Civics
Subcategory,Citizenship
Subcategory,Law and Legal Systems
Subcategory,Government
Subcategory,Economics
Subcategory,Microeconomics
Subcategory,Macroeconomics
Subcategory,Finance
Subcategory,Business
Subcategory,Entrepreneurship
Subcategory,Philosophy
Subcategory,Ethics
Subcategory,Climate Change
Subcategory,Waste and Recycling
Subcategory,Environmental Sustainability
Subcategory,Economic Sustainability
Subcategory,Social Sustainability
Subcategory,Sustainable Development Goals
Subcategory,Computer Skills
Subcategory,Information Literacy
Subcategory,Social Media
Subcategory,Research
Subcategory,Information Evaluation
Subcategory,Information Technology
Subcategory,Digital Literacy
Subcategory,News Literacy